Code FAP détaillées;FAP détaillées;Code FAP agrégées;FAP agrégées;Code domaines professionnels;domaines professionnels
A0Z00;Agriculteurs indépendants;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z01;Éleveurs indépendants;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z02;Bûcherons, sylviculteurs indépendants;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z40;Agriculteurs salariés;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z41;Éleveurs salariés;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z42;Bûcherons, sylviculteurs salariés et agents forestiers;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A0Z43;Conducteurs d'engins agricoles ou forestiers;A0Z;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A;Agriculture, marine, pêche
A1Z00;Maraîchers, horticulteurs indépendants;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A1Z01;Viticulteurs, arboriculteurs indépendants;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A1Z40;Maraîchers, horticulteurs salariés;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A1Z41;Jardiniers salariés;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A1Z42;Viticulteurs, arboriculteurs salariés;A1Z;Maraîchers, jardiniers, viticulteurs;A;Agriculture, marine, pêche
A2Z70;Techniciens et agents d'encadrement d'exploitations agricoles;A2Z;Techniciens et cadres de l'agriculture;A;Agriculture, marine, pêche
A2Z90;Ingénieurs, cadres techniques de l'agriculture;A2Z;Techniciens et cadres de l'agriculture;A;Agriculture, marine, pêche
A3Z00;Marins, pêcheurs, aquaculteurs indépendants;A3Z;Marins, pêcheurs, aquaculteurs;A;Agriculture, marine, pêche
A3Z40;Pêcheurs, aquaculteurs salariés;A3Z;Marins, pêcheurs, aquaculteurs;A;Agriculture, marine, pêche
A3Z41;Marins salariés;A3Z;Marins, pêcheurs, aquaculteurs;A;Agriculture, marine, pêche
A3Z90;Cadres et maîtres d'équipage de la marine;A3Z;Marins, pêcheurs, aquaculteurs;A;Agriculture, marine, pêche
B0Z20;Ouvriers non qualifiés des travaux publics, du béton et de l'extraction;B0Z;Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction;B;Bâtiment, travaux publics
B0Z21;Ouvriers non qualifiés du gros œuvre du bâtiment;B0Z;Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction;B;Bâtiment, travaux publics
B1Z40;Ouvriers qualifiés des travaux publics, du béton et de l'extraction;B1Z;Ouvriers qualifiés des travaux publics, du béton et de l'extraction;B;Bâtiment, travaux publics
B2Z40;Maçons;B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B2Z41;Professionnels du travail de la pierre et des matériaux associés;B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B2Z42;Charpentiers (métal);B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B2Z43;Charpentiers (bois);B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B2Z44;Couvreurs;B2Z;Ouvriers qualifiés du gros œuvre du bâtiment;B;Bâtiment, travaux publics
B3Z20;Ouvriers non qualifiés du second œuvre du bâtiment;B3Z;Ouvriers non qualifiés du second œuvre du bâtiment;B;Bâtiment, travaux publics
B4Z41;Plombiers, chauffagistes;B4Z;Ouvriers qualifiés du second œuvre du bâtiment;B;Bâtiment, travaux publics
B4Z42;Menuisiers et ouvriers de l'agencement et de l'isolation;B4Z;Ouvriers qualifiés du second œuvre du bâtiment;B;Bâtiment, travaux publics
B4Z43;Électriciens du bâtiment;B4Z;Ouvriers qualifiés du second œuvre du bâtiment;B;Bâtiment, travaux publics
B4Z44;Ouvriers qualifiés de la peinture et de la finition du bâtiment;B4Z;Ouvriers qualifiés du second œuvre du bâtiment;B;Bâtiment, travaux publics
B5Z40;Conducteurs d'engins du bâtiment et des travaux publics;B5Z;Conducteurs d'engins du bâtiment et des travaux publics;B;Bâtiment, travaux publics
B6Z70;Géomètres;B6Z;Techniciens et agents de maîtrise du bâtiment et des travaux publics;B;Bâtiment, travaux publics
B6Z71;Techniciens et chargés d'études du bâtiment et des travaux publics;B6Z;Techniciens et agents de maîtrise du bâtiment et des travaux publics;B;Bâtiment, travaux publics
B6Z72;Dessinateurs en bâtiment et en travaux publics;B6Z;Techniciens et agents de maîtrise du bâtiment et des travaux publics;B;Bâtiment, travaux publics
B6Z73;Chefs de chantier, conducteurs de travaux (non cadres);B6Z;Techniciens et agents de maîtrise du bâtiment et des travaux publics;B;Bâtiment, travaux publics
B7Z90;Architectes;B7Z;Cadres du bâtiment et des travaux publics;B;Bâtiment, travaux publics
B7Z91;Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres);B7Z;Cadres du bâtiment et des travaux publics;B;Bâtiment, travaux publics
C0Z20;Ouvriers non qualifiés de l'électricité et de l'électronique;C0Z;Ouvriers non qualifiés de l'électricité et de l'électronique;C;Électricité, électronique
C1Z40;Ouvriers qualifiés de l'électricité et de l'électronique;C1Z;Ouvriers qualifiés de l'électricité et de l'électronique;C;Électricité, électronique
C2Z70;Techniciens en électricité et en électronique;C2Z;Techniciens et agents de maîtrise de l'électricité et de l'électronique;C;Électricité, électronique
C2Z71;Dessinateurs en électricité et en électronique;C2Z;Techniciens et agents de maîtrise de l'électricité et de l'électronique;C;Électricité, électronique
C2Z80;Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique;C2Z;Techniciens et agents de maîtrise de l'électricité et de l'électronique;C;Électricité, électronique
D0Z20;Ouvriers non qualifiés travaillant par enlèvement ou formage de métal;D0Z;Ouvriers non qualifiés travaillant par enlèvement ou formage de métal;D;Mécanique, travail des métaux
D1Z40;Régleurs;D1Z;Ouvriers qualifiés travaillant par enlèvement de métal;D;Mécanique, travail des métaux
D1Z41;Ouvriers qualifiés travaillant par enlèvement de métal;D1Z;Ouvriers qualifiés travaillant par enlèvement de métal;D;Mécanique, travail des métaux
D2Z40;Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons;D2Z;Ouvriers qualifiés travaillant par formage de métal;D;Mécanique, travail des métaux
D2Z41;Tuyauteurs;D2Z;Ouvriers qualifiés travaillant par formage de métal;D;Mécanique, travail des métaux
D2Z42;Soudeurs;D2Z;Ouvriers qualifiés travaillant par formage de métal;D;Mécanique, travail des métaux
D3Z20;Ouvriers non qualifiés métallerie, serrurerie, montage;D3Z;Ouvriers non qualifiés de la mécanique;D;Mécanique, travail des métaux
D4Z40;Monteurs, ajusteurs et autres ouvriers qualifiés de la mécanique;D4Z;Ouvriers qualifiés de la mécanique;D;Mécanique, travail des métaux
D4Z41;Agents qualifiés de traitement thermique et de surface;D4Z;Ouvriers qualifiés de la mécanique;D;Mécanique, travail des métaux
D6Z70;Techniciens en mécanique et travail des métaux;D6Z;Techniciens et agents de maîtrise des industries mécaniques;D;Mécanique, travail des métaux
D6Z71;Dessinateurs en mécanique et travail des métaux;D6Z;Techniciens et agents de maîtrise des industries mécaniques;D;Mécanique, travail des métaux
D6Z80;Agents de maîtrise et assimilés en fabrication mécanique;D6Z;Techniciens et agents de maîtrise des industries mécaniques;D;Mécanique, travail des métaux
E0Z20;Ouvriers non qualifiés des industries chimiques et plastiques;E0Z;Ouvriers non qualifiés des industries de process;E;Industries de process
E0Z21;Ouvriers non qualifiés des industries agro-alimentaires;E0Z;Ouvriers non qualifiés des industries de process;E;Industries de process
E0Z22;Ouvriers non qualifiés en métallurgie, verre, céramique et matériaux de construction;E0Z;Ouvriers non qualifiés des industries de process;E;Industries de process
E0Z23;Ouvriers non qualifiés du papier-carton et du bois;E0Z;Ouvriers non qualifiés des industries de process;E;Industries de process
E0Z24;Autres ouvriers non qualifiés de type industriel;E0Z;Ouvriers non qualifiés des industries de process;E;Industries de process
E1Z40;Pilotes d'installation lourde des industries de transformation;E1Z;Ouvriers qualifiés des industries de process;E;Industries de process
E1Z41;Autres ouvriers qualifiés des industries chimiques et plastiques;E1Z;Ouvriers qualifiés des industries de process;E;Industries de process
E1Z42;Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes);E1Z;Ouvriers qualifiés des industries de process;E;Industries de process
E1Z43;Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ;E1Z;Ouvriers qualifiés des industries de process;E;Industries de process
E1Z44;Ouvriers qualifiés des industries lourdes du bois et de la fabrication de papier-carton;E1Z;Ouvriers qualifiés des industries de process;E;Industries de process
E1Z46;Agents qualifiés de laboratoire;E1Z;Ouvriers qualifiés des industries de process;E;Industries de process
E1Z47;Autres ouvriers qualifiés de type industriel;E1Z;Ouvriers qualifiés des industries de process;E;Industries de process
E2Z70;Techniciens des industries de process;E2Z;Techniciens et agents de maîtrise des industries de process;E;Industries de process
E2Z80;Agents de maîtrise et assimilés des industries de process;E2Z;Techniciens et agents de maîtrise des industries de process;E;Industries de process
F0Z20;Ouvriers non qualifiés du textile et du cuir;F0Z;Ouvriers non qualifiés du textile et du cuir;F;Matériaux souples, bois, industries graphiques
F1Z40;Ouvriers qualifiés du travail industriel du textile et du cuir;F1Z;Ouvriers qualifiés du textile et du cuir;F;Matériaux souples, bois, industries graphiques
F1Z41;Ouvriers qualifiés du travail artisanal du textile et du cuir;F1Z;Ouvriers qualifiés du textile et du cuir;F;Matériaux souples, bois, industries graphiques
F2Z20;Ouvriers non qualifiés du travail du bois et de l'ameublement;F2Z;Ouvriers non qualifiés du travail du bois et de l'ameublement;F;Matériaux souples, bois, industries graphiques
F3Z40;Artisans du travail du bois et de l'ameublement;F3Z;Ouvriers qualifiés du travail du bois et de l'ameublement;F;Matériaux souples, bois, industries graphiques
F3Z41;Ouvriers qualifiés du travail du bois et de l'ameublement;F3Z;Ouvriers qualifiés du travail du bois et de l'ameublement;F;Matériaux souples, bois, industries graphiques
F4Z20;Ouvriers non qualifiés de l'imprimerie, de la presse et de l'édition;F4Z;Ouvriers des industries graphiques;F;Matériaux souples, bois, industries graphiques
F4Z41;Ouvriers qualifiés de l'impression et du façonnage des industries graphiques;F4Z;Ouvriers des industries graphiques;F;Matériaux souples, bois, industries graphiques
F5Z70;Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques;F5Z;Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques;F;Matériaux souples, bois, industries graphiques
G0A40;Ouvriers qualifiés de la maintenance en mécanique;G0A;Ouvriers qualifiés de la maintenance;G;Maintenance
G0A41;Ouvriers qualifiés de la maintenance en électricité et en électronique;G0A;Ouvriers qualifiés de la maintenance;G;Maintenance
G0A42;Mainteniciens en biens électrodomestiques;G0A;Ouvriers qualifiés de la maintenance;G;Maintenance
G0A43;Ouvriers qualifiés polyvalents d'entretien du bâtiment;G0A;Ouvriers qualifiés de la maintenance;G;Maintenance
G0B40;Carrossiers automobiles;G0B;Ouvriers qualifiés de la réparation automobile;G;Maintenance
G0B41;Mécaniciens et électroniciens de véhicules;G0B;Ouvriers qualifiés de la réparation automobile;G;Maintenance
G1Z70;Techniciens et agents de maîtrise de la maintenance et de l'environnement;G1Z;Techniciens et agents de maîtrise de la maintenance;G;Maintenance
G1Z71;Techniciens experts;G1Z;Techniciens et agents de maîtrise de la maintenance;G;Maintenance
G1Z80;Agents de maîtrise en entretien;G1Z;Techniciens et agents de maîtrise de la maintenance;G;Maintenance
H0Z90;Ingénieurs et cadres de fabrication et de la production;H0Z;Ingénieurs et cadres techniques de l'industrie;H;Ingénieurs et cadres de l'industrie
H0Z91;Cadres techniques de la maintenance et de l'environnement;H0Z;Ingénieurs et cadres techniques de l'industrie;H;Ingénieurs et cadres de l'industrie
H0Z92;Ingénieurs des méthodes de production, du contrôle qualité;H0Z;Ingénieurs et cadres techniques de l'industrie;H;Ingénieurs et cadres de l'industrie
J0Z20;Ouvriers non qualifiés de l'emballage et manutentionnaires;J0Z;Ouvriers non qualifiés de la manutention;J;Transports, logistique et tourisme
J1Z40;Ouvriers qualifiés du magasinage et de la manutention;J1Z;Ouvriers qualifiés de la manutention;J;Transports, logistique et tourisme
J1Z80;Responsables magasinage;J1Z;Ouvriers qualifiés de la manutention;J;Transports, logistique et tourisme
J3Z40;Conducteurs de véhicules légers;J3Z;Conducteurs de véhicules;J;Transports, logistique et tourisme
J3Z41;Conducteurs de transport en commun sur route;J3Z;Conducteurs de véhicules;J;Transports, logistique et tourisme
J3Z42;Conducteurs et livreurs sur courte distance;J3Z;Conducteurs de véhicules;J;Transports, logistique et tourisme
J3Z43;Conducteurs routiers;J3Z;Conducteurs de véhicules;J;Transports, logistique et tourisme
J3Z44;Conducteurs sur rails et d'engins de traction;J3Z;Conducteurs de véhicules;J;Transports, logistique et tourisme
J4Z40;Agents d'exploitation des transports;J4Z;Agents d'exploitation des transports;J;Transports, logistique et tourisme
J4Z60;Contrôleurs des transports;J4Z;Agents d'exploitation des transports;J;Transports, logistique et tourisme
J4Z80;Responsables logistiques (non cadres);J4Z;Agents d'exploitation des transports;J;Transports, logistique et tourisme
J5Z60;Agents et hôtesses d'accompagnement;J5Z;Agents administratifs et commerciaux des transports et du tourisme;J;Transports, logistique et tourisme
J5Z61;Agents administratifs des transports;J5Z;Agents administratifs et commerciaux des transports et du tourisme;J;Transports, logistique et tourisme
J5Z62;Employés des transports et du tourisme;J5Z;Agents administratifs et commerciaux des transports et du tourisme;J;Transports, logistique et tourisme
J5Z80;Techniciens des transports et du tourisme;J5Z;Agents administratifs et commerciaux des transports et du tourisme;J;Transports, logistique et tourisme
J6Z90;Cadres des transports;J6Z;Cadres des transports, de la logistique et navigants de l'aviation;J;Transports, logistique et tourisme
J6Z91;Personnels navigants de l'aviation;J6Z;Cadres des transports, de la logistique et navigants de l'aviation;J;Transports, logistique et tourisme
J6Z92;Ingénieurs et cadres de la logistique, du planning et de l'ordonnancement;J6Z;Cadres des transports, de la logistique et navigants de l'aviation;J;Transports, logistique et tourisme
K0Z20;Ouvriers non qualifiés divers de type artisanal;K0Z;Artisans et ouvriers artisanaux;K;Artisanat
K0Z40;Artisans et ouvriers qualifiés divers de type artisanal;K0Z;Artisans et ouvriers artisanaux;K;Artisanat
L0Z60;Secrétaires bureautiques et assimilés;L0Z;Secrétaires;L;Gestion, administration des entreprises
L1Z60;Employés de la comptabilité;L1Z;Employés de la comptabilité;L;Gestion, administration des entreprises
L2Z60;Agents d'accueil et d'information;L2Z;Employés administratifs d'entreprise;L;Gestion, administration des entreprises
L2Z61;Agents administratifs divers;L2Z;Employés administratifs d'entreprise;L;Gestion, administration des entreprises
L3Z80;Secrétaires de direction;L3Z;Secrétaires de direction;L;Gestion, administration des entreprises
L4Z80;Techniciens des services administratifs;L4Z;Techniciens des services administratifs, comptables et financiers;L;Gestion, administration des entreprises
L4Z81;Techniciens des services comptables et financiers;L4Z;Techniciens des services administratifs, comptables et financiers;L;Gestion, administration des entreprises
L5Z90;Cadres administratifs, comptables et financiers (hors juristes);L5Z;Cadres des services administratifs, comptables et financiers;L;Gestion, administration des entreprises
L5Z91;Juristes;L5Z;Cadres des services administratifs, comptables et financiers;L;Gestion, administration des entreprises
L5Z92;Cadres des ressources humaines et du recrutement;L5Z;Cadres des services administratifs, comptables et financiers;L;Gestion, administration des entreprises
L6Z00;Dirigeants de petites et moyennes entreprises;L6Z;Dirigeants d'entreprises;L;Gestion, administration des entreprises
L6Z90;Cadres dirigeants des grandes entreprises;L6Z;Dirigeants d'entreprises;L;Gestion, administration des entreprises
M0Z60;Employés et opérateurs en informatique;M0Z;Employés et opérateurs de l'informatique;M;Informatique et télécommunications
M1Z80;Techniciens d'étude et de développement en informatique;M1Z;Techniciens de l'informatique;M;Informatique et télécommunications
M1Z81;Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique;M1Z;Techniciens de l'informatique;M;Informatique et télécommunications
M2Z90;Ingénieurs et cadres d'étude, recherche et développement en informatique, chefs de projets informatiques;M2Z;Ingénieurs de l'informatique;M;Informatique et télécommunications
M2Z91;Ingénieurs et cadres d'administration, maintenance en informatique;M2Z;Ingénieurs de l'informatique;M;Informatique et télécommunications
M2Z92;Ingénieurs et cadres des télécommunications;M2Z;Ingénieurs de l'informatique;M;Informatique et télécommunications
N0Z90;Ingénieurs et cadres d'étude, recherche et développement (industrie);N0Z;Personnels d'études et de recherche;N;Études et recherche
N0Z91;Chercheurs (sauf industrie et enseignement supérieur);N0Z;Personnels d'études et de recherche;N;Études et recherche
P0Z60;Agents des impôts et des douanes;P0Z;Employés administratifs de la fonction publique (catégorie C et assimilés);P;Administration publique, professions juridiques, armée et police
P0Z61;Employés des services au public;P0Z;Employés administratifs de la fonction publique (catégorie C et assimilés);P;Administration publique, professions juridiques, armée et police
P0Z62;Employés de la Poste et des télécommunications;P0Z;Employés administratifs de la fonction publique (catégorie C et assimilés);P;Administration publique, professions juridiques, armée et police
P1Z80;Contrôleurs des impôts et des douanes;P1Z;Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés);P;Administration publique, professions juridiques, armée et police
P1Z81;Autres cadres B de la fonction publique;P1Z;Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés);P;Administration publique, professions juridiques, armée et police
P1Z82;Professions intermédiaires de la Poste et des télécommunications;P1Z;Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés);P;Administration publique, professions juridiques, armée et police
P2Z90;Cadres A de la fonction publique (hors spécialités juridiques) et assimilés;P2Z;Cadres de la fonction publique (catégorie A et assimilés);P;Administration publique, professions juridiques, armée et police
P2Z91;Cadres de la Poste et des télécommunications;P2Z;Cadres de la fonction publique (catégorie A et assimilés);P;Administration publique, professions juridiques, armée et police
P2Z92;Cadres de l'armée et de la gendarmerie;P2Z;Cadres de la fonction publique (catégorie A et assimilés);P;Administration publique, professions juridiques, armée et police
P3Z90;Professionnels du droit;P3Z;Professionnels du droit (hors juristes en entreprise);P;Administration publique, professions juridiques, armée et police
P3Z91;Magistrats;P3Z;Professionnels du droit (hors juristes en entreprise);P;Administration publique, professions juridiques, armée et police
P4Z60;Agents de sécurité et de l'ordre public;P4Z;Armée, police, pompiers;P;Administration publique, professions juridiques, armée et police
P4Z61;Agents de polices municipales;P4Z;Armée, police, pompiers;P;Administration publique, professions juridiques, armée et police
P4Z80;Cadres intermédiaires de la police et de l'armée;P4Z;Armée, police, pompiers;P;Administration publique, professions juridiques, armée et police
Q0Z60;Employés de la banque et des assurances;Q0Z;Employés de la banque et des assurances;Q;Banque et assurances
Q1Z80;Techniciens de la banque;Q1Z;Techniciens de la banque et des assurances;Q;Banque et assurances
Q1Z81;Techniciens des assurances;Q1Z;Techniciens de la banque et des assurances;Q;Banque et assurances
Q2Z90;Cadres de la banque;Q2Z;Cadres de la banque et des assurances;Q;Banque et assurances
Q2Z91;Cadres des assurances;Q2Z;Cadres de la banque et des assurances;Q;Banque et assurances
R0Z60;Employés de libre service;R0Z;Caissiers, employés de libre service;R;Commerce
R0Z61;Caissiers;R0Z;Caissiers, employés de libre service;R;Commerce
R1Z60;Vendeurs en produits alimentaires;R1Z;Vendeurs;R;Commerce
R1Z61;Vendeurs en ameublement, équipement du foyer, bricolage;R1Z;Vendeurs;R;Commerce
R1Z62;Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels;R1Z;Vendeurs;R;Commerce
R1Z63;Vendeurs en gros de matériel et équipements;R1Z;Vendeurs;R;Commerce
R1Z66;Vendeurs généralistes;R1Z;Vendeurs;R;Commerce
R1Z67;Télévendeurs;R1Z;Vendeurs;R;Commerce
R2Z80;Attachés commerciaux;R2Z;Attachés commerciaux et représentants;R;Commerce
R2Z83;Représentants auprès des particuliers;R2Z;Attachés commerciaux et représentants;R;Commerce
R3Z80;Maîtrise des magasins;R3Z;Maîtrise des magasins et intermédiaires du commerce;R;Commerce
R3Z81;Intermédiaires du commerce;R3Z;Maîtrise des magasins et intermédiaires du commerce;R;Commerce
R3Z82;Professions intermédiaires commerciales;R3Z;Maîtrise des magasins et intermédiaires du commerce;R;Commerce
R4Z90;Cadres commerciaux, acheteurs et cadres de la mercatique;R4Z;Cadres commerciaux et technico-commerciaux;R;Commerce
R4Z91;Ingénieurs et cadres technico-commerciaux;R4Z;Cadres commerciaux et technico-commerciaux;R;Commerce
R4Z92;Cadres des magasins;R4Z;Cadres commerciaux et technico-commerciaux;R;Commerce
R4Z93;Agents immobiliers, syndics;R4Z;Cadres commerciaux et technico-commerciaux;R;Commerce
S0Z20;Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires);S0Z;Bouchers, charcutiers, boulangers;S;Hôtellerie, restauration, alimentation
S0Z40;Bouchers;S0Z;Bouchers, charcutiers, boulangers;S;Hôtellerie, restauration, alimentation
S0Z41;Charcutiers, traiteurs;S0Z;Bouchers, charcutiers, boulangers;S;Hôtellerie, restauration, alimentation
S0Z42;Boulangers, pâtissiers;S0Z;Bouchers, charcutiers, boulangers;S;Hôtellerie, restauration, alimentation
S1Z20;Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration;S1Z;Cuisiniers;S;Hôtellerie, restauration, alimentation
S1Z40;Cuisiniers;S1Z;Cuisiniers;S;Hôtellerie, restauration, alimentation
S1Z80;Chefs cuisiniers;S1Z;Cuisiniers;S;Hôtellerie, restauration, alimentation
S2Z60;Employés de l'hôtellerie;S2Z;Employés et agents de maîtrise de l'hôtellerie et de la restauration;S;Hôtellerie, restauration, alimentation
S2Z61;Serveurs de cafés restaurants;S2Z;Employés et agents de maîtrise de l'hôtellerie et de la restauration;S;Hôtellerie, restauration, alimentation
S2Z80;Maîtres d'hôtel;S2Z;Employés et agents de maîtrise de l'hôtellerie et de la restauration;S;Hôtellerie, restauration, alimentation
S2Z81;Maîtrise de l'hôtellerie;S2Z;Employés et agents de maîtrise de l'hôtellerie et de la restauration;S;Hôtellerie, restauration, alimentation
S3Z00;Patrons d'hôtels, cafés, restaurants;S3Z;Patrons et cadres d'hôtels, cafés, restaurants;S;Hôtellerie, restauration, alimentation
S3Z90;Cadres de l'hôtellerie et de la restauration;S3Z;Patrons et cadres d'hôtels, cafés, restaurants;S;Hôtellerie, restauration, alimentation
T0Z60;Coiffeurs, esthéticiens;T0Z;Coiffeurs, esthéticiens;T;Services aux particuliers et aux collectivités
T1Z60;Employés de maison et personnels de ménage;T1Z;Employés de maison;T;Services aux particuliers et aux collectivités
T2A60;Aides à domicile et aides ménagères;T2A;Aides à domicile et aides ménagères;T;Services aux particuliers et aux collectivités
T2B60;Assistantes maternelles;T2B;Assistantes maternelles;T;Services aux particuliers et aux collectivités
T3Z60;Concierges;T3Z;Agents de gardiennage et de sécurité;T;Services aux particuliers et aux collectivités
T3Z61;Agents de sécurité et de surveillance;T3Z;Agents de gardiennage et de sécurité;T;Services aux particuliers et aux collectivités
T4Z60;Agents d'entretien de locaux;T4Z;Agents d'entretien;T;Services aux particuliers et aux collectivités
T4Z61;Agents de services hospitaliers;T4Z;Agents d'entretien;T;Services aux particuliers et aux collectivités
T4Z62;Ouvriers de l'assainissement et du traitement des déchets;T4Z;Agents d'entretien;T;Services aux particuliers et aux collectivités
T6Z61;Employés des services divers;T6Z;Employés des services divers;T;Services aux particuliers et aux collectivités
U0Z80;Assistants de communication;U0Z;Professionnels de la communication et de l'information;U;Communication, information, art et spectacle
U0Z81;Interprètes;U0Z;Professionnels de la communication et de l'information;U;Communication, information, art et spectacle
U0Z90;Cadres de la communication;U0Z;Professionnels de la communication et de l'information;U;Communication, information, art et spectacle
U0Z91;Cadres et techniciens de la documentation;U0Z;Professionnels de la communication et de l'information;U;Communication, information, art et spectacle
U0Z92;Journalistes et cadres de l'édition;U0Z;Professionnels de la communication et de l'information;U;Communication, information, art et spectacle
U1Z80;Professionnels des spectacles;U1Z;Professionnels des arts et des spectacles;U;Communication, information, art et spectacle
U1Z81;Photographes;U1Z;Professionnels des arts et des spectacles;U;Communication, information, art et spectacle
U1Z82;Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle;U1Z;Professionnels des arts et des spectacles;U;Communication, information, art et spectacle
U1Z91;Artistes (musique, danse, spectacles);U1Z;Professionnels des arts et des spectacles;U;Communication, information, art et spectacle
U1Z92;Écrivains;U1Z;Professionnels des arts et des spectacles;U;Communication, information, art et spectacle
U1Z93;Artistes plasticiens;U1Z;Professionnels des arts et des spectacles;U;Communication, information, art et spectacle
V0Z60;Aides-soignants;V0Z;Aides-soignants;V;Santé, action sociale, culturelle et sportive
V1Z80;Infirmiers;V1Z;Infirmiers, sages-femmes;V;Santé, action sociale, culturelle et sportive
V1Z81;Sages-femmes;V1Z;Infirmiers, sages-femmes;V;Santé, action sociale, culturelle et sportive
V2Z90;Médecins;V2Z;Médecins et assimilés;V;Santé, action sociale, culturelle et sportive
V2Z91;Dentistes;V2Z;Médecins et assimilés;V;Santé, action sociale, culturelle et sportive
V2Z92;Vétérinaires;V2Z;Médecins et assimilés;V;Santé, action sociale, culturelle et sportive
V2Z93;Pharmaciens;V2Z;Médecins et assimilés;V;Santé, action sociale, culturelle et sportive
V3Z70;Techniciens médicaux et préparateurs;V3Z;Professions para-médicales;V;Santé, action sociale, culturelle et sportive
V3Z71;Spécialistes de l'appareillage médical;V3Z;Professions para-médicales;V;Santé, action sociale, culturelle et sportive
V3Z80;Autres professionnels para-médicaux;V3Z;Professions para-médicales;V;Santé, action sociale, culturelle et sportive
V3Z90;Psychologues, psychothérapeutes;V3Z;Professions para-médicales;V;Santé, action sociale, culturelle et sportive
V4Z80;Professionnels de l'orientation;V4Z;Professionnels de l'action sociale et de l'orientation;V;Santé, action sociale, culturelle et sportive
V4Z83;Educateurs spécialisés;V4Z;Professionnels de l'action sociale et de l'orientation;V;Santé, action sociale, culturelle et sportive
V4Z85;Professionnels de l'action sociale;V4Z;Professionnels de l'action sociale et de l'orientation;V;Santé, action sociale, culturelle et sportive
V5Z00;Exploitants d'équipements sportifs et culturels;V5Z;Professionnels de l'action culturelle, sportive et surveillants;V;Santé, action sociale, culturelle et sportive
V5Z81;Professionnels de l'animation socioculturelle;V5Z;Professionnels de l'action culturelle, sportive et surveillants;V;Santé, action sociale, culturelle et sportive
V5Z82;Sportifs et animateurs sportifs;V5Z;Professionnels de l'action culturelle, sportive et surveillants;V;Santé, action sociale, culturelle et sportive
V5Z84;Surveillants d'établissements scolaires;V5Z;Professionnels de l'action culturelle, sportive et surveillants;V;Santé, action sociale, culturelle et sportive
W0Z80;Professeurs des écoles;W0Z;Enseignants;W;Enseignement, formation
W0Z90;Professeurs du secondaire;W0Z;Enseignants;W;Enseignement, formation
W0Z91;Directeurs d'établissement scolaire et inspecteurs;W0Z;Enseignants;W;Enseignement, formation
W0Z92;Professeurs du supérieur;W0Z;Enseignants;W;Enseignement, formation
W1Z80;Formateurs;W1Z;Formateurs;W;Enseignement, formation
X0Z00;Professionnels de la politique;X0Z;Professionnels de la politique et clergé;X;Politique, religion
X0Z01;Clergé;X0Z;Professionnels de la politique et clergé;X;Politique, religion
