geo_point,commune,code_INSEE,service,DEP,REG
"46.2027,5.2469",Bourg-en-Bresse,01053,Préfecture,01,""
"49.5711,3.613",Laon,02408,Préfecture,02,""
"46.5591,3.3255",Moulins,03190,Préfecture,03,""
"44.0954,6.2495",Digne-les-Bains,04070,Préfecture,04,""
"44.5797,6.0616",Gap,05061,Préfecture,05,""
"43.7032,7.2528",Nice,06088,Préfecture,06,""
"44.7214,4.5949",Privas,07186,Préfecture,07,""
"49.7802,4.7304",Charleville-Mézières,08105,Préfecture,08,""
"42.9701,1.609",Foix,09122,Préfecture,09,""
"48.2924,4.0761",Troyes,10387,Préfecture,10,""
"43.2078,2.3491",Carcassonne,11069,Préfecture,11,""
"44.3591,2.5699",Rodez,12202,Préfecture,12,""
"43.2803,5.3806",Marseille,13055,Préfecture,13,""
"49.1846,-0.3722",Caen,14118,Préfecture,14,""
"44.9281,2.4416",Aurillac,15014,Préfecture,15,""
"45.6458,0.145",Angoulême,16015,Préfecture,16,""
"46.162,-1.1765",La Rochelle,17300,Préfecture,17,""
"47.078,2.3983",Bourges,18033,Préfecture,18,""
"45.2685,1.7663",Tulle,19272,Préfecture,19,""
"47.3319,5.0322",Dijon,21231,Préfecture,21,""
"48.5108,-2.7657",Saint-Brieuc,22278,Préfecture,22,""
"46.1585,1.8705",Guéret,23096,Préfecture,23,""
"45.1939,0.7105",Périgueux,24322,Préfecture,24,""
"47.2602,6.0123",Besançon,25056,Préfecture,25,""
"44.9234,4.9164",Valence,26362,Préfecture,26,""
"49.018,1.1406",Évreux,27229,Préfecture,27,""
"48.4481,1.5046",Chartres,28085,Préfecture,28,""
"47.9982,-4.0972",Quimper,29232,Préfecture,29,""
"41.9228,8.7058",Ajaccio,2A004,Préfecture,2A,""
"42.6861,9.424",Bastia,2B033,Préfecture,2B,""
"43.8322,4.3429",Nîmes,30189,Préfecture,30,""
"43.6007,1.4328",Toulouse,31555,Préfecture,31,""
"43.6602,0.5673",Auch,32013,Préfecture,32,""
"44.8624,-0.5848",Bordeaux,33063,Préfecture,33,""
"43.61,3.8742",Montpellier,34172,Préfecture,34,""
"48.1159,-1.6884",Rennes,35238,Préfecture,35,""
"46.8023,1.6903",Châteauroux,36044,Préfecture,36,""
"47.3943,0.6949",Tours,37261,Préfecture,37,""
"45.1842,5.7155",Grenoble,38185,Préfecture,38,""
"46.6758,5.5574",Lons-le-Saunier,39300,Préfecture,39,""
"43.8931,-0.5009",Mont-de-Marsan,40192,Préfecture,40,""
"47.5813,1.3049",Blois,41018,Préfecture,41,""
"45.4241,4.3665",Saint-Étienne,42218,Préfecture,42,""
"45.0283,3.8973",Le Puy-en-Velay,43157,Préfecture,43,""
"47.2382,-1.5603",Nantes,44109,Préfecture,44,""
"47.8734,1.9122",Orléans,45234,Préfecture,45,""
"44.4565,1.439",Cahors,46042,Préfecture,46,""
"44.201,0.6302",Agen,47001,Préfecture,47,""
"44.5349,3.4909",Mende,48095,Préfecture,48,""
"47.4819,-0.5629",Angers,49007,Préfecture,49,""
"49.1123,-1.0812",Saint-Lô,50502,Préfecture,50,""
"48.9656,4.3801",Châlons-en-Champagne,51108,Préfecture,51,""
"48.0965,5.1566",Chaumont,52121,Préfecture,52,""
"48.0578,-0.7692",Laval,53130,Préfecture,53,""
"48.6881,6.1734",Nancy,54395,Préfecture,54,""
"48.7628,5.1732",Bar-le-Duc,55029,Préfecture,55,""
"47.6577,-2.7485",Vannes,56260,Préfecture,56,""
"49.1048,6.1962",Metz,57463,Préfecture,57,""
"46.9852,3.1598",Nevers,58194,Préfecture,58,""
"50.6311,3.0468",Lille,59350,Préfecture,59,""
"49.4425,2.0877",Beauvais,60057,Préfecture,60,""
"48.431,0.0923",Alençon,61001,Préfecture,61,""
"50.2893,2.7679",Arras,62041,Préfecture,62,""
"45.787,3.1127",Clermont-Ferrand,63113,Préfecture,63,""
"43.3219,-0.3435",Pau,64445,Préfecture,64,""
"43.2387,0.0653",Tarbes,65440,Préfecture,65,""
"42.699,2.9045",Perpignan,66136,Préfecture,66,""
"48.5691,7.7621",Strasbourg,67482,Préfecture,67,""
"48.1115,7.3924",Colmar,68066,Préfecture,68,""
"45.758,4.8351",Lyon,69123,Préfecture,69,""
"47.6323,6.1523",Vesoul,70550,Préfecture,70,""
"46.3265,4.8083",Mâcon,71270,Préfecture,71,""
"47.9819,0.1957",Le Mans,72181,Préfecture,72,""
"45.5822,5.9064",Chambéry,73065,Préfecture,73,""
"45.9024,6.1264",Annecy,74010,Préfecture,74,""
"48.8589,2.347",Paris,75056,Préfecture,75,""
"49.4412,1.0912",Rouen,76540,Préfecture,76,""
"48.5421,2.6552",Melun,77288,Préfecture,77,""
"48.8039,2.1191",Versailles,78646,Préfecture,78,""
"46.3274,-0.4613",Niort,79191,Préfecture,79,""
"49.8987,2.2847",Amiens,80021,Préfecture,80,""
"43.929,2.1323",Albi,81004,Préfecture,81,""
"44.0217,1.3646",Montauban,82121,Préfecture,82,""
"43.1364,5.9334",Toulon,83137,Préfecture,83,""
"43.9416,4.8333",Avignon,84007,Préfecture,84,""
"46.6659,-1.4162",La Roche-sur-Yon,85191,Préfecture,85,""
"46.5846,0.3715",Poitiers,86194,Préfecture,86,""
"45.8567,1.226",Limoges,87085,Préfecture,87,""
"48.1637,6.4867",Épinal,88160,Préfecture,88,""
"47.7939,3.5821",Auxerre,89024,Préfecture,89,""
"47.6458,6.841",Belfort,90010,Préfecture,90,""
"48.6287,2.4313",Évry-Courcouronnes,91228,Préfecture,91,""
"48.8974,2.2018",Nanterre,92050,Préfecture,92,""
"48.9073,2.4432",Bobigny,93008,Préfecture,93,""
"48.7845,2.4523",Créteil,94028,Préfecture,94,""
"49.0488,2.0996",Pontoise,95500,Préfecture,95,""
"15.9992,-61.7294",Basse-Terre,97105,Préfecture,971,""
"14.6492,-61.0686",Fort-de-France,97209,Préfecture,972,""
"4.9464,-52.3319",Cayenne,97302,Préfecture,973,""
"-20.9434,55.4444",Saint-Denis,97411,Préfecture,974,""
"-12.7875,45.1964",Mamoudzou,97611,Préfecture,976,""
"43.2803,5.3806",Marseille,13055,Préfecture de région,"",93
"47.3319,5.0322",Dijon,21231,Préfecture de région,"",27
"41.9228,8.7058",Ajaccio,2A004,Préfecture de région,"",94
"43.6007,1.4328",Toulouse,31555,Préfecture de région,"",76
"44.8624,-0.5848",Bordeaux,33063,Préfecture de région,"",75
"48.1159,-1.6884",Rennes,35238,Préfecture de région,"",53
"47.2382,-1.5603",Nantes,44109,Préfecture de région,"",52
"47.8734,1.9122",Orléans,45234,Préfecture de région,"",24
"50.6311,3.0468",Lille,59350,Préfecture de région,"",32
"48.5691,7.7621",Strasbourg,67482,Préfecture de région,"",44
"45.758,4.8351",Lyon,69123,Préfecture de région,"",84
"48.8589,2.347",Paris,75056,Préfecture de région,"",11
"49.4412,1.0912",Rouen,76540,Préfecture de région,"",28
"15.9992,-61.7294",Basse-Terre,97105,Préfecture de région,"",01
"14.6492,-61.0686",Fort-de-France,97209,Préfecture de région,"",02
"4.9464,-52.3319",Cayenne,97302,Préfecture de région,"",03
"-20.9434,55.4444",Saint-Denis,97411,Préfecture de région,"",04
"-12.7875,45.1964",Mamoudzou,97611,Préfecture de région,"",06
